Contract,Address
ProxyAdmin,0x9ED9fD8dDd7281Dc3f9FFB2AA497E802b2b7aebA
PlatformTreasury,0x150B4c6bFD6fd6C7dA3b012E597D74d80b9565AC
AddressProvider,0xc5891c56c024EC2B82479D7A98582E4d7fE5d5Ff
CreditCaller,0xe2325B9eb309D6888F85A7f43F6c6770BE7B387F
CreditCallerProxy,0xcEd4D9293002964fEA40F984c6d7e20c5eD49D35
CreditUser,0xc3cc687B96bD189153c411b96e683A08335A7e08
CreditUserProxy,0x8718CaD7DE1B411616145669c1e1242051342fb3
CreditTokenStaker,0x3Cf9c18AEC2B0416C288381C4683933329b3a647
CreditTokenStakerProxy,0xC2202A59b806499f101F0712E7eF73C0f74FdF10
CreditToken,0xa6ca0Da7807818d49F5dEed7DD019b3E83550aaD
CreditRewardTracker,0xDFd3b01d3856d6A57c8F6aE4010DEfcE507f1e11
CreditRewardTrackerProxy,0x20B9359f8Bc3BE6a29dc3B2859c68d05EB9F1FC0
GMXDepositor,0x264e7cba765E08697CC931eC5b480717EaE4c308
GMXDepositorProxy,0x7093c218188d101f5E121Ab679cA3b5e034F7863
GMXExecutor,0x2226E2e187cF45b6299fee90B0dF5eaf775EeCe5
GMXExecutorProxy,0x65C59eE732BD249224718607Ee0EC0e293309923
CreditAggregator,0x1F290Ce31e704b89fa62CFa5c6F123640D7e0F2E
CreditAggregatorProxy,0xeD36E66ad87dE148A908e8a51b78888553D87E16
DepositorRewardDistributor,0x7554887f4e5f9396ED3fF19E2F728668e10C4eF2
DepositorRewardDistributorProxy,0x257db03e29976F900A188378Fc2c9A0C7d5615Be
CollateralReward,0xa46504483ec3D1FC058942ce7329b7c1370Dac07
CollateralRewardProxy,0xbd198617aD1dc75B0f7A0A67BbE31993919Cd716
Allowlist,0x9821fC145052b740273fFae362350b226dfbaB38
WETHVault,0x85b6912bfC3d748D7F64893Fb9Ed354312ECD4a8
WETHVaultProxy,0x7674Ccf6cAE51F20d376644C42cd69EC7d4324f4
WETHVaultManager,0x912AAE02c0535c3135a54bbeb8EB9Bc7465c996C
WETHVaultManagerProxy,0xf5eb3768b9b50E6E019E50e62DA8aC0444c6Af98
WETHVaultRewardDistributor,0x79cE4037eA258F9b88B4317249Fb96B81D8DE2c5
WETHVaultRewardDistributorProxy,0x682A7FfC1e27b44042b8aFeAeFefca2Cd4835b1D
WETHSupplyBaseReward,0xC1c738035254A8e9D31FB2221807F549530D5215
WETHSupplyBaseRewardProxy,0x9eBC025393d86f211A720b95650dff133b270684
WETHBorrowedBaseReward,0xd3581CDB6D38CC9e934A07d07Cc605ec301F2C06
WETHBorrowedBaseRewardProxy,0x484ce444412fDEF5bc8C8fC87e2d1Ae307ee9e7e
USDTVault,0xF7b0EE061A3f154f60Ebf7B1B087DE61d33A82cd
USDTVaultProxy,0x179bD8d1d654DB8aa1603f232E284FF8d53a0688
USDTVaultManager,0xE42911F900fFea3ccE669Ef74fa0565A801402f0
USDTVaultManagerProxy,0x14192d4c06E223e54Cf72A03DA6fF21689802794
USDTVaultRewardDistributor,0x14A2F6DAaA1eC5693399bfC393d50709a551a32c
USDTVaultRewardDistributorProxy,0xA8Cf4aaC2698379f63BeB296eEDaEff44d2FffD4
USDTSupplyBaseReward,0x7fe1fc1BC6bdf36f50a6B97219839795E695C593
USDTSupplyBaseRewardProxy,0xEca975BeEc3bC90C424FF101605ECBCef22b66eA
USDTBorrowedBaseReward,0x26377F481De52dbABAd9FF1fbffa99E5C7903C3E
USDTBorrowedBaseRewardProxy,0x7552BA76d310D0b941fCeCb8957C5b1E18644442
USDCVault,0xD36b8804FA7b5A0482CFeF1ae75d65B843Dc453d
USDCVaultProxy,0xa7490e0828Ed39DF886b9032ebBF98851193D79c
USDCVaultManager,0x01969C1c771460f0AA09A88f1d63E4959b272FF9
USDCVaultManagerProxy,0x0EA8C08C3b682A3CD964C416A2966b089B4497BA
USDCVaultRewardDistributor,0xe30284A87453B3f7e1696F6b81b098F24Ec3920a
USDCVaultRewardDistributorProxy,0xEc917865d70C4a50aa04e266D81D81B1C71c8Bfc
USDCSupplyBaseReward,0xD5276444fd311fac80837eB655C2aEc593D259D4
USDCSupplyBaseRewardProxy,0x670c4391f6421e4cE64D108F810C56479ADFE4B3
USDCBorrowedBaseReward,0x786b9F4d848EF0B95CBC84C22A0C36026e8DaA9E
USDCBorrowedBaseRewardProxy,0x9564707C471DbC6029d7181fDc2D2a72eCC9e435
SimpleProxy,0xB589F32eE5e4b3666cB72F72EdF301F574cDf3B2
