farmer_address,position_index,position_count
0x0d7577af002de62977ae343231e2b77c606345d7,1,1
0x0dbb6c61d3c7cd21518cb8ce102b8e8c9b78ace1,1,1
0x14975679e5f87c25fa2c54958e735a79b5b93043,1,2
0x14975679e5f87c25fa2c54958e735a79b5b93043,2,2
0x171e659aba00c78e0e08c2c5e9c6b58c81199f16,1,1
0x1f452f2beea8c1105cd5363b18a0995367a87d97,1,1
0x24808e89c49b00900e32d48a2f5fcbe164efc460,1,2
0x24808e89c49b00900e32d48a2f5fcbe164efc460,2,2
0x4eda1e237d2b92a6054fd57d4e80b0fee6c8ba08,1,1
0x500dd643792a3d283c0d3db3af9b69ad6b862aae,1,3
0x500dd643792a3d283c0d3db3af9b69ad6b862aae,2,3
0x500dd643792a3d283c0d3db3af9b69ad6b862aae,3,3
0x50cd4175e0bb2cc85c225911096dbdd01dd14926,1,1
0x53d5caf5521f4c54f809df2c7405deae95028116,1,1
0x5524c33467183c56d37d701b6d90c1773049f16e,1,1
0x5af06f87e079026ae72eb1222c87da3d0418d8fb,1,1
0x5d47e5d242a8f66a6286b0a2353868875f5d6068,1,1
0x60a3d336c39e8fac40647142d3068780b4bc4c93,1,1
0x7214be04b996de6e45cab5513b40d51648bf7990,1,4
0x7214be04b996de6e45cab5513b40d51648bf7990,2,4
0x7214be04b996de6e45cab5513b40d51648bf7990,3,4
0x7214be04b996de6e45cab5513b40d51648bf7990,4,4
0x95c2ec97903c993efbe4630f1535282a12fead98,1,2
0x95c2ec97903c993efbe4630f1535282a12fead98,2,2
0x9830ba180953516741594188fdcaef80c51db48b,1,2
0x9830ba180953516741594188fdcaef80c51db48b,2,2
0xb7d672703e7987715912a0784be91b27d1098c89,1,1
0xbe5db17252907470e9e8f927c15a68f482c61da5,1,1
0xd22314d6b6cb3863c0bea5aa92ceb9dfebd2f9c1,1,47
0xd22314d6b6cb3863c0bea5aa92ceb9dfebd2f9c1,2,47
0xd22314d6b6cb3863c0bea5aa92ceb9dfebd2f9c1,3,47
0xd22314d6b6cb3863c0bea5aa92ceb9dfebd2f9c1,4,47
