address,net_wbtc,net_weth,net_usdc,net_usdt,estimated_usd
0x69ce8721790edbdcd2b4155d853d99d2680477b0,22.0951,0,0,0,2430461
0xcb89e891c581fbe0bea4fac2ba9829d816515a81,2.8129,73.1249,0,0,510512.47
0xd468833cec47e996cc92e2f6ad3af733595390e6,4.3716,1.1,0,0,483901
0xa827150caaebabcb696b9b44d16c2367dd03828b,0,-0.01,158187.67,0,158160.17
0x11d67fa925877813b744abc0917900c2b1d6eb81,0,0,0,70000.98,70000.98
0xa2df5770b8cb729529b45e50343daabc20d31c43,0,0,0,65500,65500
0x5d4b67fab585ec9ccd341ea9ce32c4a71840747d,0,12.4397,0,4014.66,38223.84
0xa9a5f6a3777d128d7abf2ff972ca146a13a3fca3,0,12.9962,0,0,35739.55
0x603c08a7582f6915d1d7858dfdb2b6b2dbf3635f,0,-0.08,0,28257.07,28037.07
0x89747466b15b4efa5d270f5992d6a41b569aae62,0,0,24000,0,24000
0x30d14e0245063fc2c39f9d0720c2109719968e85,0.1643,2.04,0,0,23683
0xc87374d34e66289005324ae0457fca898e823c68,0,0,0,20976.71,20976.71
0xced29ba48490c51e4348e654c313ac97762beccc,0,0,9800,10000,19800
0x31cdb470154238d2d1075a22bb2ef3ce1fb093d4,0,0,18870.94,0,18870.94
0x1690842b72edd4fd754af6404291e70d8c439b31,0.1591,0,0,0,17501
0x91d6886da15b4170782f545c491b874b72ed8c15,0.1,1,1000,2003.22,16753.22
0xff2779e68e24b725c625f514acb36736a23391e8,0.15,0,0,0,16500
0x9c2beda40319ef834ee70880ef0ac786986d5d27,0,5,0,2000,15750
0x1b5b7b514771beec3c83add7e0165166dbc77320,0,0,0,15000,15000
0x9621d12d63be2b9fbfb1fb03f623e3d9b52e9df9,0,0,14395.3,0,14395.3
0x4b4d897cc153a5923730e86aa58ae30816229a7a,0,5.0131,0,0,13786.03
0x3c01d937a899f95fbb26f478ae2d157d715293f9,0,4.9023,0,0,13481.33
0x689dcb6c727a18c60c42635f99c78bef67367ff0,0.11914248,0.0001,0,0,13105.82
0xd8c8f8e07f779c34aec474ba1a04e20e792b5c5f,0,4,0,0,11000
0x7c95d0cd038e06c4152a37325d48aed406006fe3,0,0,0,10000,10000
0x32a1874657673c8403059cb30880612af7d2c9c6,0,0,0,10000,10000
0xb80ebc2e6f0ae48d801471f563526efa47b1e236,0,0,4999.83,5000,9999.83
0xf6ef125721fe2c429d1722624f196ba4e04c48ee,0,3.1,0,0,8525
0x7453275ad8cacf3a44d19bd10e5b6a2832b05fc3,0,3,0,0,8250
0xecca7559a64d3005c8c0cbeef7ce04dc2c8ff814,0,2.53,0,0,6957.5
0x59d2e0a2be0db463c36038a5fd2535f58ab3b38f,0.061,0,0,0,6710
0xec9ebe950cad79fde4139714283145137ce24aad,0,0,0,6000,6000
0x66c9d04ee58af6c27d48f85a486832d24857626f,0,2,0,0,5500
0x6c68601d1063b963f1dff2a1cd138d7f6e96963d,0,2,0,0,5500
0xd807e4e38e8a19a03f869e5a9691c06253afa397,0,2,0,0,5500
0x667848e46bd03251e8c221d9151f29c88d9c2e5b,0,0,5128.54,0,5128.54
0x0feaa9d8eba3f9d220207ed4830a02d58eec928e,0,0,1000.52,4100.45,5100.97
0xff9a6868db7727bcacfc2472f8919c480195c2f7,0,0,5000,0,5000
0x5ab8e8a5ac6ee75bdf3ae1e9bb5e354232768053,0,0,4999.42,0,4999.42
0x161d9b5d6e3ed8d9c1d36a7caf971901c60b9222,0,0,0,4992.59,4992.59
0x04d179be939f9387e800e98d591c7cead296b93c,0,0,2453.31,2500,4953.31
0x60a3d336c39e8fac40647142d3068780b4bc4c93,0,1.8,0,0,4950
0xdc308f2d2f00889041e74b9c3d6e6b8ad57d81de,0,0,4050,0,4050
0x52eb4bd04dea22dc589cc973a96d9e1f9e423c12,0,0,0,4000,4000
0xc638c94dc14bb0ded44a94192999e8bd73a62640,0,0,3708.83,0,3708.83
0x1ef91043d3cdb315a5c97a03b843e6095ba6ea02,0,0.212,200,2591.54,3374.54
0x1305fd5d65d1758cbadf8a6f907670a447aca164,0,1,500,0,3250
0x19de5bf0977f858c530e8ec53242680386537d89,0,-0.15,0,3655.9,3243.4
0xe34c1bf99bf238bd7bc7a42498273f69b430abe6,0,1.1,0,42.03,3067.03
0x2807cc96ca226b4f6bb47a81f67d1905d8c2a1e2,0,0,0,3026.02,3026.02
0x841e65e15f0b09797ff1dec296198d6ada1f3230,0,1.1,0,0,3025
0xc0a7aba6031d05b1f28c101ffdb1396021a765d6,0,0,0,3000,3000
0xa611cb6409771c9c5c2949fedd722023e4961ce2,0,0,0,3000,3000
0x7f54a3f39311ee9397e523e67bb8fe914de3bfb3,0,0,2999.9,0,2999.9
0x055ddc40fbe329e3b43cb06f56a9ecdaca3ad521,0,1.09,0,0,2997.5
0x143a9422b6c78e78a898dd1f9d25b2a42ae211e5,0,0,0,2900.03,2900.03
0xa32dc0d7c0c9fc83ff330aea00ad8c3cfe319aa8,0,1,0,0,2750
0xf29f1e3572dd6f525f31826ffc696fcb048c51c1,0,1,0,0,2750
0x112f4dcf0b4fe5938098d9e743d72d939b4f6075,0,1,0,0,2750
0x3c8eef6273ae5b0b9fbaefc9edeedec6953b296e,0,0,0,2500,2500
0x0ac0240f4656dc80684d0df1208bb91c0220725d,0,0,0,2451.85,2451.85
0x8253569da40c19350ec3067b4f882658bb403c81,0,0.515,0,999.97,2416.22
0x91271375ae26099e4b1c89ff3892a1915edf581a,0,0.81,0,0,2227.5
0x2d5841f759b895a0b3be282abb1104bf5db5095d,0,0,0,2012.65,2012.65
0xe0b17a7b6609fa841d7439ea6c5afe2fb07f8bac,0,0,0,2000,2000
0xa0ba9d15defb5e4667fd14d2a65be5b4b191948e,0,0,0,2000,2000
0x08d2c744fd60f2dca8c1885d3aa03ff6d3fa5d11,0,0,0,2000,2000
0xc693b4ffb338579467a541b2bf267b1955870920,0,0,2000,0,2000
0xa0c0f5e52950e94a72e2a9790511ed536896d5b9,0,0,0,1935.57,1935.57
0xc2fe50e4e2a72346108527a815627dda4bbd165c,0,0.6986,0,-16,1905.18
0x15778b42f87f9b5737e07d127af60eee7ac9c0f0,0,0.601,0,0,1652.75
0x069497b672dcc385264ac7f5b8ec5a467b863bff,0,0.6,0,0,1650
0xaf8cfcfa6d329c0264c2bbc337949debdef23075,0,0,1491.45,0,1491.45
0xf69b6812a9c7325f35ab918fd6064de0060f3854,0,0.503,0,0,1383.25
0x7942b87c5c80d0702e1375fc36ece7220cb04d09,0,0.5,0,0,1375
0x1bc64307e6ddc620635b862fd2051be32bbf26a3,0,0.5,0,0,1375
0x5a9dd9b93e6ad5f78b9b5fb08dd40e384d327f4b,0,0.195,0,800.71,1336.83
0x178d4d7d2a603463faffea75eecf74797c8bd7f3,0,0.257,620.74,0,1327.49
0xda603487d8a7f1c410743871507051880538863f,0,0.45,0,0,1237.5
0x30a2c1dab998c6bdc29ee0f11917da7cd9c9708d,0,0,0,1200,1200
0xf16a809ac6ae471ffe3c93b388072d27d583b06a,0,0,0,1148.91,1148.94
0xa73018c8c64d8b58f692da632255c8ac907c8d58,0,0.4,0,0,1100
