rn,distribution_share,sum_distribution_share,running_approximate_distribution_usd,sum_approximate_distribution_usd,distribution_token,receiver_type,account,balance_before_event,pool_share,approximate_distribution_usd,is_contract,contract_name,has_redeemed,redemption_usd,redemption_bonus_usd,approximate_distribution_before_redemption_bonus_usd
1,0.6339327936782718,1.0000000000000009,2138416.360893911,3373254.04556872,GLV,CONTRACT,0x49ee14e37cb47bff8c512b3a0d672302a3446eb1,1606694.3166085633,0.049704732499171296,2138416.360893911,true,,false,,,2138416.360893911
2,0.09882429307348171,1.0000000000000009,2471775.8073045025,3373254.04556872,GLV,CONTRACT,0xbec7635c7a475cbe081698ea110ef411e40f8dd9,250468.86926724442,0.007748510726406796,333359.446410591,true,,false,,,333359.446410591
3,0.029662276319266045,1.0000000000000009,2571834.200899244,3373254.04556872,GLV,CONTRACT,0xd7e4ceb17d313996fa0f5e14dd6425ee9248c4b6,75178.64867553234,0.002325728412330526,100058.39359474143,true,,false,,,100058.39359474143
4,0.028480083897155856,1.0000000000000009,2667904.7591234613,3373254.04556872,GLV,CONTRACT,0xb81a869025fa244a9841d86630996368857a6e86,72182.3975513065,0.0022330363183270157,96070.55822421754,true,,false,,,96070.55822421754
5,0.019913894922963696,1.0000000000000009,2735079.385735379,3373254.04556872,GLV,CONTRACT,0x03c513588288524c2cd29ae6171acafdec592f1e,50471.50441392689,0.0015613876266272768,67174.62661191769,true,,false,,,67174.62661191769
6,0.019632009688828965,1.0000000000000009,2801303.141840866,3373254.04556872,GLV,CONTRACT,0x907a749631ad4149df1d49ee2fd40517b12df573,49757.0700004739,0.0015392858671066233,66223.75610548661,true,FlashGLPStrategy,false,,,66223.75610548661
7,0.018172388358804033,1.0000000000000009,2862603.2243898474,3373254.04556872,GLV,CONTRACT,0x41658b0daf59bb2fbb2d9a5249207011d2b364de,46057.67896290929,0.0014248414204989378,61300.08254898161,true,,false,,,61300.08254898161
8,0.017262911464138126,1.0000000000000009,2920835.410324546,3373254.04556872,GLV,CONTRACT,0x47d746940fc01aa4cf6c6107de9b6b8e05e53795,43752.62175129559,0.0013535321173451273,58232.185934698566,true,,false,,,58232.185934698566
9,0.015762111622162504,1.0000000000000009,2974005.0171207115,3373254.04556872,GLV,CONTRACT,0x8478ab5064ebac770ddce77e7d31d969205f041e,39948.864317517786,0.0012358589894929412,53169.606796165404,true,DnGmxJuniorVaultManager,false,,,53169.606796165404
10,0.011566785726312624,1.0000000000000009,3013022.723866222,3373254.04556872,GLV,CONTRACT,0x2bf07718de14e9b794d0d20ac6a81d23e2a95153,29315.866087418864,0.000906916310585097,39017.706745510586,true,,false,,,39017.706745510586
11,0.01066510119663952,1.0000000000000009,3048998.819624186,3373254.04556872,GLV,CONTRACT,0xd1f7d5fec6eb532847e552269c905ac489992ef6,27030.558522253064,0.0008362179829500884,35976.09575796406,true,,false,,,35976.09575796406
12,0.010090743327196084,1.0000000000000009,3083037.460375446,3373254.04556872,GLV,CONTRACT,0x214a2432aff539a5fbac965d391254d2d8f2e68e,25574.856066508975,0.0007911843381470898,34038.64075125976,true,,false,,,34038.64075125976
13,0.009926260855004393,1.0000000000000009,3116521.25996196,3373254.04556872,GLV,CONTRACT,0x9566db22dc32e54234d2d0ae7b72f44e05158239,25157.977406992526,0.0007782877703048532,33483.79958651399,true,,false,,,33483.79958651399
14,0.009494976458336175,1.0000000000000009,3148550.2277126224,3373254.04556872,GLV,CONTRACT,0xb0e54cde03e37414672d69687b212388566ba856,24064.89278370286,0.0007444720791444749,32028.967750662257,true,PirexGmx,false,,,32028.967750662257
15,0.005804614021826294,1.0000000000000009,3168130.6654447126,3373254.04556872,GLV,CONTRACT,0x484451cd2cdf7f6b0d284fb4fa84a2d60fba43cb,14711.717790873357,0.0004551220414734379,19580.437732090464,true,,false,,,19580.437732090464
16,0.005388339404981167,1.0000000000000009,3186306.9031414627,3373254.04556872,GLV,CONTRACT,0xab19bdaeb37242fa0f30486195f45b9cf5361b78,13656.675256864763,0.00042248322126597145,18176.23769675007,true,,false,,,18176.23769675007
17,0.004912984381441016,1.0000000000000009,3202879.6475819745,3373254.04556872,GLV,CONTRACT,0x2a8b4700e6aa7ea523c3307fe8b57f0fc8fc5e82,12451.894210183491,0.0003852120869709508,16572.744440511844,true,,false,,,16572.744440511844
18,0.004175328897122529,1.0000000000000009,3216964.092675773,3373254.04556872,GLV,CONTRACT,0xff2073d3810754d6da4783235c8647e11e43c943,10582.316100187265,0.0003273747753659529,14084.445093798551,true,tGLP,false,,,14084.445093798551
19,0.004031252702033025,1.0000000000000009,3230562.532161616,3373254.04556872,GLV,CONTRACT,0x82ccf1991819d970cacff73dbc55099267fce34e,10217.156881233255,0.0003160782013318659,13598.439485842737,true,,false,,,13598.439485842737
20,0.003345320032849081,1.0000000000000009,3241847.146496146,3373254.04556872,GLV,CONTRACT,0xe854358bc324cd5a73deb5552a698e462a9cc38e,8478.669565000004,0.00026229631755140056,11284.614334530244,true,GLPCreditUser,false,,,11284.614334530244
21,0.0027636875086126827,1.0000000000000009,3251169.7665652614,3373254.04556872,GLV,CONTRACT,0x2ed85a74f214e1658cb13e9dd8595253a75f5d15,7004.529592491205,0.00021669228930379418,9322.620069115468,true,,false,,,9322.620069115468
22,0.002275715125742276,1.0000000000000009,3258846.3318197336,3373254.04556872,GLV,CONTRACT,0x5bac5eefa13696cf815388021235b215587263ea,5767.770014759501,0.00017843186643337521,7676.5652544720615,true,GLPVault,false,,,7676.5652544720615
23,0.0017584697099442608,1.0000000000000009,3264778.096882813,3373254.04556872,GLV,CONTRACT,0x8797ac4d05ee98cdce9cbab87a2fe8db9b01ac36,4456.818320602037,0.00013787623453509725,5931.7650630795315,true,,false,,,5931.7650630795315
24,0.001580990657461114,1.0000000000000009,3270111.1800141004,3373254.04556872,GLV,CONTRACT,0x9c4eb65a060a0e04017f6398672d1014bba34002,4006.999999503374,0.0001239606445611256,5333.083131287053,true,,false,,,5333.083131287053
25,0.0015616343129691475,1.0000000000000009,3275378.9692780226,3373254.04556872,GLV,CONTRACT,0xe6be5b6025852a05224e26f7a4911cd0f441b8c9,3957.9415993138045,0.00012244297275943098,5267.789263922105,true,,false,,,5267.789263922105
26,0.0011716123582605465,1.0000000000000009,3279331.1154053635,3373254.04556872,GLV,CONTRACT,0xff6b69b78df465bf7e55d242fd11456158d1600a,2969.436091739604,0.00009186254353898984,3952.146127340697,true,,false,,,3952.146127340697
27,0.0010883809984592184,1.0000000000000009,3283002.501011536,3373254.04556872,GLV,CONTRACT,0x73957eef5b6f32208f274d6fea07f60cf53def9b,2758.487306489878,0.0000853366270448088,3671.385606172681,true,,false,,,3671.385606172681
28,0.0010046083364854256,1.0000000000000009,3286391.3001467977,3373254.04556872,GLV,CONTRACT,0xdd673ea2c04391dbde37dcff19d5f1d008d58b69,2546.1665980130538,0.00007876826870197777,3388.799135261524,true,,false,,,3388.799135261524
29,0.0008236359864628312,1.0000000000000009,3289169.6335702096,3373254.04556872,GLV,CONTRACT,0xf42b850282ba40ce60d5d3964c2920a677b5a87b,2087.4945603077986,0.00006457877994651103,2778.3334234117287,true,,false,,,2778.3334234117287
30,0.0008222131414668064,1.0000000000000009,3291943.1673759823,3373254.04556872,GLV,CONTRACT,0x7c8fef8ea9b1fe46a7689bfb8149341c90431d38,2083.8883784044083,0.00006446721901983164,2773.533805772671,true,DegenBox,false,,,2773.533805772671
31,0.000816385280768396,1.0000000000000009,3294697.042327077,3373254.04556872,GLV,CONTRACT,0x96015d0fb97139567a9ba675951816a0bb719e3c,2069.1177422178944,0.00006401027427750943,2753.8749510947473,true,PendlePrincipalTokenV2,false,,,2753.8749510947473
32,0.000591666741860764,1.0000000000000009,3296692.884557687,3373254.04556872,GLV,CONTRACT,0x4a1861633433a2ba0d3a0414af3d0a28dbc5048d,1499.5715649259341,0.00004639078057818654,1995.8422306102857,true,,false,,,1995.8422306102857
33,0.0005457130631449157,1.0000000000000009,3298533.7133556604,3373254.04556872,GLV,CONTRACT,0xddc984fd24f14410acd716e6a22cc6b88287979f,1383.1025714359384,0.00004278769310471642,1840.8287979732852,true,,false,,,1840.8287979732852
34,0.0004649714183054502,1.0000000000000009,3300102.180073533,3373254.04556872,GLV,CONTRACT,0x95a020c76bdbe38d64f78c330f6364bd0429829e,1178.4639359672167,0.00003645698754994827,1568.4667178726854,true,,false,,,1568.4667178726854
35,0.0004359250500472244,1.0000000000000009,3301572.66601217,3373254.04556872,GLV,CONTRACT,0x2b8e28667a29a5ab698b82e121f2b9edd9271e93,1104.8462981608095,0.00003417955060593011,1470.4859386365463,true,,false,,,1470.4859386365463
36,0.0004325436730641729,1.0000000000000009,3303031.7457072185,3373254.04556872,GLV,CONTRACT,0xbfbee90e2a96614ace83139f41fa16a2079e8408,1096.276242730396,0.000033914427173134926,1459.079695048875,true,,false,,,1459.079695048875
37,0.0004159883721079178,1.0000000000000009,3304434.980166341,3373254.04556872,GLV,CONTRACT,0x1e05498b750d2cf2efe88f27ab0f32cdea49bfdc,1054.3170504920167,0.00003261637663263622,1403.2344591225797,true,,false,,,1403.2344591225797
38,0.0004157679839244897,1.0000000000000009,3305837.4712001323,3373254.04556872,GLV,CONTRACT,0x057fdd5cd208daa715393982aaf7508350104b04,1053.7584795436562,0.00003259909666887269,1402.4910337912354,true,CollSurplusPool,false,,,1402.4910337912354
