rn,distribution_share,sum_distribution_share,running_approximate_distribution_usd,sum_approximate_distribution_usd,distribution_token,receiver_type,account,balance_before_event,pool_share,approximate_distribution_usd,is_contract,contract_name,has_redeemed,redemption_usd,redemption_bonus_usd,approximate_distribution_before_redemption_bonus_usd
1,0.2638394315838835,1.0000000000000004,233207.06388415158,883897.6891519233,USDC,EOA,0x57fceccd07b5ebcc1bef98703a7bd618d442a275,175219.60221956295,0.00542059766248392,233207.06388415158,false,,false,,,233207.06388415158
2,0.1718936516373652,1.0000000000000004,385143.46534630435,883897.6891519233,USDC,EOA,0xc0064f283a1f502545cdd202615915b776a5121f,114157.07304687458,0.003531565849227836,151936.4014621528,false,,false,,,151936.4014621528
3,0.1052355742681627,1.0000000000000004,478160.94625850895,883897.6891519233,USDC,EOA,0xa18e4485ee33cb6fd87faaab2d00b2111d273805,69888.47478907736,0.0021620714707566127,93017.48091220461,false,,false,,,93017.48091220461
4,0.07710731021513413,1.0000000000000004,546315.9195743864,883897.6891519233,USDC,EOA,0xf14ca6a58d1fb3cc8e35bed5ffd522d5f66db439,51208.08570200673,0.001584174522373061,68154.97331587755,false,,false,,,68154.97331587755
5,0.0752983197623943,1.0000000000000004,612871.9304093893,883897.6891519233,USDC,EOA,0x66cfc3a7f110597ee861d9789914ae56554b22b6,50006.70884319067,0.001547008700112488,66556.01083500292,false,,false,,,66556.01083500292
6,0.04968447723860424,1.0000000000000004,656787.925027313,883897.6891519233,USDC,EOA,0xe2c559057be32ac01334e336572fb88fca19d5d7,32996.18364841469,0.0010207706996809831,43915.994617923614,false,,false,,,43915.994617923614
7,0.04891508944222694,1.0000000000000004,700023.859549957,883897.6891519233,USDC,EOA,0xf77aca5af6148c0743693e2a46d6594b2c6bb569,32485.222027460186,0.0010049635791700353,43235.93452264403,false,,false,,,43235.93452264403
8,0.046448118981424875,1.0000000000000004,741079.244583092,883897.6891519233,USDC,EOA,0x2d9c6022e7c31d6a74e8e194189856dc54dd1edd,30846.871079559067,0.0009542795163938124,41055.38503313503,false,,false,,,41055.38503313503
9,0.04146123668811621,1.0000000000000004,777726.7358810989,883897.6891519233,USDC,SAFE,0xe8ce0c446545e5980de75c02e06a30f0cd266818,27535.010049144752,0.0008518237070407017,36647.491298006855,true,GnosisSafeL2_v1_3_0,false,,,36647.491298006855
10,0.024989286676353487,1.0000000000000004,799814.7086278826,883897.6891519233,USDC,EOA,0xabfda4bac2094cdb4181cec57589ab48df094145,16595.74857668374,0.0005134064613913328,22087.97274678379,false,,false,,,22087.97274678379
