account,glv,is_eligible_per_market,is_eligible_label,glv_eligible_for_claim,glv_eligible_for_claim_raw,share,Share in USD
0x52079cb2859d58444b368a2506e9ec0b2ff7e777,0xdf03eed325b82bc1d4db8b49c30ecc9e05104b96,TRUE,claimed and transferred partially (out txs only),400000.0088,4.00E+23,0.05614441792,"$14,036.10447995"
0x4c6062eda9d53d749e6e1ab1676b27aa5730c03f,0xdf03eed325b82bc1d4db8b49c30ecc9e05104b96,TRUE,claimed but not transferred,381292.8468,3.81E+23,0.05351866117,"$13,379.66529285"
0x69ce8721790edbdcd2b4155d853d99d2680477b0,0xdf03eed325b82bc1d4db8b49c30ecc9e05104b96,TRUE,claimed_after_13th_and_eligible,333362.7263,3.33E+23,0.04679113953,"$11,697.78488328"
0x025bedb808d06b4ff7fa9e7bea949ece206ed967,0xdf03eed325b82bc1d4db8b49c30ecc9e05104b96,TRUE,claimed but not transferred,263032.2835,2.63E+23,0.03691948531,"$9,229.87132847"
0x588a07fdb3ddaff7e32b7fe20828afab7d3387e7,0xdf03eed325b82bc1d4db8b49c30ecc9e05104b96,TRUE,claimed but not transferred,203372.7188,2.03E+23,0.02854560667,"$7,136.40166715"
0x12478d1a60a910c9cbffb90648766a2bdd5918f5,0xdf03eed325b82bc1d4db8b49c30ecc9e05104b96,TRUE,claimed but not transferred,195802.751,1.96E+23,0.0274830781,"$6,870.76952583"
0x14c32a94d825b0fbfc1a7024282f6bcaaa3082d1,0xdf03eed325b82bc1d4db8b49c30ecc9e05104b96,TRUE,claimed but not transferred,166255.4759,1.66E+23,0.02333579178,"$5,833.94794574"
0xc926ddba8b7617dbc65712f20cf8e1b58b8598d3,0xdf03eed325b82bc1d4db8b49c30ecc9e05104b96,TRUE,claimed but not transferred,161284.6201,1.61E+23,0.02263807729,"$5,659.51932250"
0xaad747958f996b22f360fd1d0e3ba56efd477c1f,0xdf03eed325b82bc1d4db8b49c30ecc9e05104b96,TRUE,not claimed yet,147669.1859,1.48E+23,0.02072700076,"$5,181.75019094"
0xcb89e891c581fbe0bea4fac2ba9829d816515a81,0xdf03eed325b82bc1d4db8b49c30ecc9e05104b96,TRUE,claimed_after_13th_and_eligible,108859.9607,1.09E+23,0.01527969749,"$3,819.92437129"
0x39c13a5f330721531f3d36fbcf2951f0174a0990,0xdf03eed325b82bc1d4db8b49c30ecc9e05104b96,TRUE,not claimed yet,105545.6128,1.06E+23,0.01481449216,"$3,703.62304004"
0xb4781d1f8c0b92f649a069124a76b8a5ad01c6bc,0xdf03eed325b82bc1d4db8b49c30ecc9e05104b96,TRUE,claimed but not transferred,98405.92601,9.84E+22,0.01381235829,"$3,453.08957161"
0xe632ff9051a9b40b2c374d734524c76e27e6ddf3,0xdf03eed325b82bc1d4db8b49c30ecc9e05104b96,TRUE,claimed but not transferred,83723.82582,8.37E+22,0.01175156341,"$2,937.89085201"
0x518ae9dc06af3a4d2dd1b75e2367c0d23257b320,0xdf03eed325b82bc1d4db8b49c30ecc9e05104b96,TRUE,claimed but not transferred,79383.067,7.94E+22,0.01114228998,"$2,785.57249453"
0x43799e28b96d18548b496558bc816a3f88c8038b,0xdf03eed325b82bc1d4db8b49c30ecc9e05104b96,TRUE,claimed but not transferred,71169.49117,7.12E+22,0.009989423919,"$2,497.35597970"
