account,glv,is_eligible_per_market,is_eligible_label,glv_eligible_for_claim,glv_eligible_for_claim_raw,share,Share in USD
0x52079cb2859d58444b368a2506e9ec0b2ff7e777,0x528a5bac7e746c9a509a1f4f6df58a03d44279f9,TRUE,claimed and transferred partially (out txs only),420000.0061,4.20E+23,0.05170130315,"$12,925.32578671"
0x4c6062eda9d53d749e6e1ab1676b27aa5730c03f,0x528a5bac7e746c9a509a1f4f6df58a03d44279f9,TRUE,claimed but not transferred,414436.9845,4.14E+23,0.05101650442,"$12,754.12610598"
0xcafbff2ca26dce84ebcab0e211bd13521b2e7dc1,0x528a5bac7e746c9a509a1f4f6df58a03d44279f9,TRUE,claimed and transferred partially,383514.7873,3.84E+23,0.04721003332,"$11,802.50832901"
0x69ce8721790edbdcd2b4155d853d99d2680477b0,0x528a5bac7e746c9a509a1f4f6df58a03d44279f9,TRUE,claimed_after_13th_and_eligible,362340.5086,3.62E+23,0.04460351478,"$11,150.87869376"
0x025bedb808d06b4ff7fa9e7bea949ece206ed967,0x528a5bac7e746c9a509a1f4f6df58a03d44279f9,TRUE,claimed but not transferred,285896.542,2.86E+23,0.03519338946,"$8,798.34736435"
0x588a07fdb3ddaff7e32b7fe20828afab7d3387e7,0x528a5bac7e746c9a509a1f4f6df58a03d44279f9,TRUE,claimed but not transferred,221051.0295,2.21E+23,0.02721101457,"$6,802.75364246"
0x12478d1a60a910c9cbffb90648766a2bdd5918f5,0x528a5bac7e746c9a509a1f4f6df58a03d44279f9,TRUE,claimed but not transferred,212823.0371,2.13E+23,0.02619816238,"$6,549.54059459"
0x14c32a94d825b0fbfc1a7024282f6bcaaa3082d1,0x528a5bac7e746c9a509a1f4f6df58a03d44279f9,TRUE,claimed but not transferred,180707.3452,1.81E+23,0.02224477404,"$5,561.19351024"
0xc926ddba8b7617dbc65712f20cf8e1b58b8598d3,0x528a5bac7e746c9a509a1f4f6df58a03d44279f9,TRUE,claimed but not transferred,175304.3944,1.75E+23,0.02157967978,"$5,394.91994444"
0xaad747958f996b22f360fd1d0e3ba56efd477c1f,0x528a5bac7e746c9a509a1f4f6df58a03d44279f9,TRUE,not claimed yet,160505.4294,1.61E+23,0.01975795177,"$4,939.48794222"
0xcb89e891c581fbe0bea4fac2ba9829d816515a81,0x528a5bac7e746c9a509a1f4f6df58a03d44279f9,TRUE,claimed_after_13th_and_eligible,118322.6871,1.18E+23,0.01456532625,"$3,641.33156315"
0x39c13a5f330721531f3d36fbcf2951f0174a0990,0x528a5bac7e746c9a509a1f4f6df58a03d44279f9,TRUE,not claimed yet,114720.2363,1.15E+23,0.01412187055,"$3,530.46763635"
0xb4781d1f8c0b92f649a069124a76b8a5ad01c6bc,0x528a5bac7e746c9a509a1f4f6df58a03d44279f9,TRUE,claimed but not transferred,106959.9275,1.07E+23,0.01316658941,"$3,291.64735347"
