account,ethGlv,btcGlv,usdc,distributionUsd,duneEstimatedDistributionUsd,status,isSmartContractWallet,isDolomite
0x49ee14e37cb47bff8c512b3a0d672302a3446eb1,710379.6304,653567.8033,0,2120050.197,2138416.361,,no,no
0xbec7635c7a475cbe081698ea110ef411e40f8dd9,110741.6519,101885.2105,0,330496.3304,333359.4464,DONE,no,no
0xd7e4ceb17d313996fa0f5e14dd6425ee9248c4b6,33239.29145,30581.01579,0,99199.02456,100058.3936,,no,no
0xb81a869025fa244a9841d86630996368857a6e86,31914.5368,29362.20693,0,95245.43941,96070.55822,DONE,no,no
0x03c513588288524c2cd29ae6171acafdec592f1e,22315.33919,20530.69456,0,66597.68556,67174.62661,,no,YES
0x907a749631ad4149df1d49ee2fd40517b12df573,21999.46103,20240.0784,0,65654.98178,66223.75611,,no,no
0x41658b0daf59bb2fbb2d9a5249207011d2b364de,20363.82193,18735.24774,0,60773.59605,61300.08255,,no,no
0x47d746940fc01aa4cf6c6107de9b6b8e05e53795,19344.66995,17797.60132,0,57732.04861,58232.18593,,no,YES
0x8478ab5064ebac770ddce77e7d31d969205f041e,17662.88657,16250.31671,0,52712.95032,53169.6068,DONE,no,no
0x2bf07718de14e9b794d0d20ac6a81d23e2a95153,12961.64049,11925.0476,0,38682.59634,39017.70675,,no,no
0xd1f7d5fec6eb532847e552269c905ac489992ef6,11951.22057,10995.4349,0,35667.10876,35976.09576,,no,no
0x214a2432aff539a5fbac965d391254d2d8f2e68e,11307.60009,10403.28725,0,33746.29392,34038.64075,,no,no
0x9566db22dc32e54234d2d0ae7b72f44e05158239,11123.28245,10233.71021,0,33196.21811,33483.79959,,no,no
0xb0e54cde03e37414672d69687b212388566ba856,10639.98887,9789.067498,0,31753.88135,32028.96775,,no,no
0x484451cd2cdf7f6b0d284fb4fa84a2d60fba43cb,6504.600495,5984.402247,0,19412.26771,19580.43773,,yes,YES
0xab19bdaeb37242fa0f30486195f45b9cf5361b78,6038.126744,5555.23422,0,18020.1279,18176.2377,,no,no
0x2a8b4700e6aa7ea523c3307fe8b57f0fc8fc5e82,5505.447997,5065.155868,0,16430.40652,16572.74444,,no,no
0xff2073d3810754d6da4783235c8647e11e43c943,4678.837613,4304.652737,0,13963.47837,14084.44509,,no,no
0x82ccf1991819d970cacff73dbc55099267fce34e,4517.387069,4156.114022,0,13481.64691,13598.43949,,no,no
0xe854358bc324cd5a73deb5552a698e462a9cc38e,3748.736826,3448.935734,0,11187.69445,11284.61433,,no,no
