recipient,amount
0xAF5D71bF8047Fb84D64c0Abcd2ab6C34a9771405,0.10
0x4C25c7E7BD06db70Ed83457bE350d6681E9cc151,0.10
0xa933b737D011A300C4163622cb5815C75D171B65,0.10
0x2F8b788eB0616daB8F2b22C6e377e25a6e92de66,0.10
0x9f40d1F667e725c199434a01F5f11ACc5f83f580,0.10
0xF06A656f234Fa77F7BfDa8a85eD1dA6eB73487a4,0.10
0x6345D8ceBE906c721513DebcFFF6De2833A87d16,0.10
0x9c8EE73937b2673ED2C0B15F2be37B58597aeB5F,0.10
0xc2479e356E96597Cba1c05202FB65bE1d862CD4D,0.10
0x2588253CC1DaaC3e7D823b9190ec87E75c67f2c4,0.10
0x91236ea7Daa4e0D570b69C08A4F4d44D303be0D2,0.10
0x8B4A25B437DA5f49adcC32c016C9368e5B7A3F46,0.10
0xa981028f624F43220132925Dc34Fa274036c54Bd,0.10
0x1B52649f4dF42B66Df7ABEC3fA71dF8267F0e14A,0.10
0xca48887f6d600FDfC13466F933d81845E27509Cc,0.10
0x54a16a2d6a8347043D98490e663C3F1e15d59Adb,0.10
0x9762f6f7ca409bE5B62AdAC6c64812269f570A85,0.10
0xbCeebB8ffDbFC6FB357dB34606Ebb3Aa35926ab2,0.11
0xeAe10420054B70314e5ab5065d1FE8657Fc840d3,0.11
0x71A240F4fF7D2aAd954C8c748F5F2F387F5C08df,0.11
0x5E8e18aFF220651cC68294bd9f4bd8C29fd644d7,0.11
0x512fde81e3A85993E29C26A5876B4261761C4E4A,0.11
0xf3e11d89b07e738F31dE12e8D8CFa0EAc7867A37,0.11
0x958c90647B2e6d1Fcb714886435Ab84391Fcd15a,0.11
0xbb0992a43f7b62e047a09c6D51FAB1973d04DE40,0.11
0x0a0357e50Db54027f39373db16EF3461CE770FEB,0.11
0x27467EfdEcA3Af0c193dff4669Cc4C10F5b981F0,0.11
0xa3B3b0Ed25776AcA37934f93e5A03b9c6657410F,0.11
0x1E373a2a4C2588fc90dA86771bf0135902046641,0.11
0xA0E0d54048C9353997c1e59E90f2095a7f9339cd,0.11
0xd40ae951755CDD95dBFC533074eCc5D454b5bC58,0.11
0x5cE19256D7A4f7E35140b0f4a89B44e5e6CaBF47,0.11
0xC8499D0311CA31A60e11D58A5A7e4F1C24B95575,0.11
0x48B0A0811d1275bfB171ad5098F504b5015A4394,0.11
0xE2a83c8B495883dAA94476cbC403b5841D5e6269,0.11
0xB7A9A5e12f8Dbf67Dae58f5eD3d7c3B6F16DAAA2,0.11
0x9A89E877065d51c55c88DbB06F27f20978C72F05,0.11
0x0E1799C427dA1881A72912840D40495769b94f6f,0.12
0xE5656D9cF64FF41CEb7e26E819D70df8B66d1595,0.12
0xA0E4776EF588917B06fe917b8eF85a24274fbC24,0.12
0xe15Baacea4584ccD11aCbC3e33619BCa10A78C53,0.12
0xf1Ca9441E8BbdE4dd3207A8Ef5C4581CF7A8813f,0.12
0x9f8FE303110F6D306D89c8A70be8Ec2df6e6931b,0.12
0x697F79B58B74e6A96333a99fE3590a7Dd7c37f20,0.12
0x7B3eCd73eA720f69dc4e87947C74488E4248766F,0.12
0x6f2b8d800eDb4c090f3BEB2f92D89CCA32ab58e6,0.12
0x0cAAc5B6074B04226D9731Ad4868f9d26971B2A8,0.12
0x919d134728a04A52a31cbf4f2523521069c0f33e,0.12
0x43fa302708b32Cda1a5DCF4d907F2aC5f69B70B5,0.12
0x6BCBeCbEa6492EC6Ade6c700CeD165378ce339eE,0.12
0x111AE97D05C2FF6D2008c6a8cfa8231C06a9Dd1E,0.12
0xe550Dc4ae6B6C4D693c6eBA53B58dA162ac53e58,0.12
0x8BF5a4Fa444D520551b860D4397A35672f1C1934,0.12
0x95c70532c5e64F2cFdd92B47CB089a8D9B2B42D7,0.12
0xcd983774CF19FEC5CdCC73c4027fEAe18eFE748a,0.12
0x73602d2905701aFcE736DbBFF561Ef5b46A8d775,0.12
0x4596d0715ac07CDDaedA63C813Fd54358bb43b6d,0.13
0x1D910Edf2Ad9BEF1365C3E7D87D225D337Dec77e,0.13
0x6234ad463357421848e8C53658Dcb7af9f9D667e,0.13
0x7b39C206B982F05ca98a1d53C769b9eF28db10EF,0.13
0x902651B5f65f1017BA167B4883904107Be076162,0.13
0xd727229915E57740D9dF951D024450c195E8ad2c,0.13
0x0778a8831Af0F6ae36f67224c59036Cd29D162e2,0.13
0x2fD7Ff015f98b5501d62162eAe108eB0792eB0EC,0.13
0x5Fc6AAD9ade7c12A4272E7FF489e7b630Ac05F72,0.13
0x1Dfb130D569A2C5e5C5f73CdC8F6c2badd3FB854,0.13
0x075D5056Db05142b1c73d736D14d558455ce8B1E,0.13
0x48b9088Fb80b98c0ca8979Df674D95524064192C,0.13
0x6D1E0084a6910a8803ab7c22483A1a2Db3F1001a,0.14
0x0b2e00f2f6d884748Ee10Aa78490C5668188F4B4,0.14
0xeE0e6ec7AbbFb0d900331A263FeF1604E7133a2c,0.14
0x2ae832FaA60E86444B81A592797ED1aCdEDE9437,0.14
0xF9C59E5deB97Cb0B4317F1120a1266396Bd3Ca28,0.14
0x60A3D336c39e8faC40647142d3068780B4Bc4C93,0.14
0x17757B0252c84341E243Ff49EEf8729eFa32f5De,0.14
0x0a38126db28d7a695B4dba765F860bE9992FE941,0.14
0x6B99AD725f01Ec94ef60133D8112198F5dFbe6e5,0.14
0x8854b22E4f00F4ba5f141Fa983E95a8C025F7e3e,0.14
0x82d55e4193132592c63ee28231eB24e4A39d886B,0.14
0x9602B49ee0022Aed8A089DbbbE3297bfdbf8f8ec,0.14
0xc9c432EB22b456E7446404051Bfdd7925c81962d,0.14
0x1164c231e14b33596b807761727a7F0796E8F5C2,0.14
0xCaf97E3084263D4Baf9850d79Fb30FAF9742e51B,0.14
