recipient,amount
0x1890e905ae4be0542a2794175fb9b8d9fd1b45c8,0.10
0x9241eea9d76da8791ca5b5e1533a7790cf837064,0.10
0xa101f25569b42beedfd8c42964314f35e59947e6,0.10
0xfeff18971b0e49f503586980218c835dca346b8f,0.13
0x4386a86277a03ff37188416767ad74e4381b226c,0.13
0x7b8ab2a089ccdb34bd1f388764902b551bbc1cfe,0.18
0xb4e7371b2d247e317b7c019e14761fedf52c2679,0.23
0x0cb8a1ab2755bf9cb4dc96b2895777cdd82a50c6,0.25
0xda8692cf35773688f928ebdd090837baa483f617,0.25
0x8ccfcfa7e6133e0875192974d0d857fb7a28375e,0.25
0x629146e9c2d57f8b1eaefe6d7323e4dc4f061472,0.30
0x7d4e6ac859e207036f0bd1f891a7661122f87198,0.35
0x61dd39cbd3ee394d45a908e8fa4b0a0367b4dbee,0.40
0x6879d01b6954ce0358ebff21bb745c98f3d3ecd2,0.40
0xfed1b842a85b9f8402f716b24c2fb28a5ba42ebc,0.60
0x3f0d4c1ffbb554f4226944be3880697204c0e83d,0.70
0x8549d43ac2741219a7d26754fbe1801b82184a3b,0.86
0x10f8ac68994c82bedddc3aeccf8c0774095537c2,1.06
0x376372ce79119a701ac7ab3f37acd43576941382,1.26
0x948c1f9e6454032c0f7f4e16d88c218ac1d55a73,1.39
0x64d196e9cc62ec70ca0379dfc38ccbff344dd38b,1.45
0x4ee976b121de67fcc77140cc36045e18bd3b7af5,1.51
0x51457a7394fe9eb56dff7777c84695b30ca92cf6,1.51
0x2497938709a430d9316e6faf0f958e5331b9468c,1.53
0x5c201a32fb96c0a31ae2f3fc4d53e88828701334,1.57
0x02a84163763dd791328765b96aed43b6a915af48,0.21
0x96e21f2b343879bd0321d83993bf019c4601cddd,0.58
0xe1ab85e458ebea43c5302ce84f5a89cb22fe351a,1.38
0xa6b49397ce21bb62200e914f41bf371e5940bb41,2.22
0x8cd509e416d0e6f5fde5b22c660746c36a69ace3,1.57
0xba6fe5d4cf1f7f285940bb9a569a930fe4027421,2.36
0xed2c95209938ec8d2430ff39252f13ed07992904,2.58
0x91f27e47f7a363539eee7a07ac5e9d12fe477c70,2.71
0xd9c925f19a32a1c8406a1da8c0b5cca2da1ffbd4,2.74
0x31f106f3a3e8378dd4f9d8551f4d2712a374f6e5,2.76
0x6c1feca12c7f4ee37346789ee5f2b51966e1dc14,2.38
0x225f1fd720f4a4d3ffef79b264271c81cf0ab9ff,2.72
0xc8728ae130381eb77fc9a8b715564b00e83e19df,0.24
0x289db8fc716396b3fcf330fb100830327955df6c,2.43
0x9f7255870c068c26bbd0315a59b2d05826cf0858,2.30
0x2726b6f3b01f4cb47ec02ab1f1093feefa998fe8,3.95
0xa0151658cda80298697573fad23ab89b747ac3bb,4.07
0x63cd8b88e9f6d9e04c949f7410eece8add0f7153,4.48
0x7fe35e8327b15912524bb850990046cdaf7fe5e3,4.84
0xd74f9fdd1c0c58668a71ce038671d82493f62f60,4.88
0x4acd63bdce72e7f269f5b29a6e03ee2d222a9fc6,5.29
0x439334d3e46905683133c3a75cf554e3a4c7fa00,3.61
0x95b29e7604fa16ae08a48c636a4edc4f74886860,5.80
0xbae316407b1187ddf39fdc7ebefae0558744fcfe,1.02
0x892006d57b5a502f1aaf444ca7ac2ad3663a72bf,6.36
0x801f12ef63a480b2ec2b6ddf1e579ac6dbcdd32f,7.72
0x2741acb77d4e4d7fddd9144233f0a08f60171ad1,8.21
0x53158c8304342f0a0948e571025b146452a62f44,9.44
0x1df7a6af7a6335efb8c08d69fe216908395169c3,7.77
0xdf336d62c23894fc7f7d3cc5484c05500628b86f,9.75
0xcfd62dd63073558c2c13e1ed2c9c973f85614ba9,10.24
0x27eab7d3ce4c84b9afb0324deb7c56bd72fc2fa0,10.72
0x29088b1ecc0b3563d21dbcc84d9a1298c32249d5,11.45
0x33c43313ce7d4cedf2dd24c031d5cf4e47e8b449,7.60
