recipient,amount
0xcd56c459194b136b3be1b25a9b6a5a73b2ff3f8a,0.10
0x2679f0eaa42b5767d5f5d7c2d8c0633d4e5099aa,0.10
0xb9217859b36c9ae674b9782783673d22e22a5954,0.10
0x743b2ee269e7a120c246e37f2c9e97ac04e8a9cd,0.10
0x3bad94c4295f8efbea71f58e3fa1c244fa8ed38f,0.10
0x813f98977a00ca98b453e3d963294bef326c40dd,0.10
0x90685c4bc8f3790f7b100bb2feefb574716624a2,0.10
0xf79034f8b9f58acf09c9cba1529d4d91fa5913f7,0.10
0x735dde08a1d36939da610ce5b7b9688db97234bf,0.10
0x5b4ef211b9c4de9c5ab71ffac0f00e1808c5bce9,0.10
0x3686f1cf0d5976eebebf6ae22be08214088c7d86,0.10
0x595f8f256b1a3be5b32a94b31ecf3d66ca885862,0.10
0xc031b317c34e66d034501bdcef322196547a103a,0.10
0xe144a480b9c83b4f21d570cf0a8a354085d664be,0.10
0xc03f322754d77cc44bc7e73634246c8ee6c53da3,0.10
0x6ec6bc15bc0e1d1690438bd35ea187d6d06e591d,0.10
0xf7c856b848a8f48fef266525186e1696beeac4a6,0.10
0xbe255509edbee57ebc29f8f84a413d10383e8c56,0.10
0x31a0ab35d9ccd0cca2dfe112f49f88e6a71cc1c0,0.10
0xc18d7bd659f17b4e1a5b46d6d5fc308235d90aea,0.10
0xbf81337357aeb9159d86d2939f94749450615ae7,0.10
0xc2b6d2f9f90d1cf559a5d61fe1f02b48bb600567,0.10
0x833eab3f58cf58323b8e133cf69503698c3a21f1,0.10
0x66c0c5b30dab85ee7e27a308a6f50b5d8fb0cd1b,0.10
0x0985e7234057b2745ed6a201edcc7ea88aa69470,0.10
0xa8a88638f57d0f6f706d3c3c5e41c53d163c81e1,0.10
0x819e481006be64734aee36f5e118e6c70d243dce,0.10
0xd5da422aa15c6f80afc15884f70602446ec282e9,0.10
0xc8d691b897597d72beeb26f5e6652eb2c0db5308,0.10
0x3d810993ebbce70e5d4147847e1eb5bb8896a397,0.10
0x8c60f779954a063896da954836b88093664bbc90,0.10
0xf1dbf761d4107958d2379d08a93fda290533405a,0.11
0x4672fd874a2f7b3187e315abfe07a15fe481919b,0.11
0xdfdb062e97b5cc87f0ab6d3570e24fe4970332f7,0.11
0x75f1e28e20df09b8c49e630ba7b8cf0520d00a6a,0.11
0x6da8de659c20de00dc0399d4e8997f75aa29b938,0.11
0xec10351b427015783ebb4fb9f1614c0c6a4b3444,0.11
0x814dd018c47f211a6171578c3d71f49e21b6d3de,0.11
0xd1720e80f9820a1e980e5f5f1b644cde257b6bf0,0.11
0xccc78d2a72fa509f6e6834599f01be5864351157,0.11
0x15ecd31318fa645b6496f1f21b22ebfe3ad0c865,0.11
0xbbe76845e151dc7b8e4a486ec9cf30cebaba8ba3,0.11
0x79c3831a683463c8fd2f3b0df54dd9f789fe4781,0.11
0xce1d5cf3329b209d7eff54ef2b08e48217e5a300,0.11
0x194cdd4ebe34cc0f57b7f959f8d924815de35bb8,0.11
0xb739801d4ee806fc942e48dca0e4f191a660253f,0.11
0x0543b4fc3ab171ecc6e546225832054a8da10582,0.11
0x34952cb04132fcab11db58774a15454b3087750d,0.11
0xe7607ab7226baf2be04b222873203948b45e56e6,0.11
0x873ba89395b7ca56e17c2fcf46b1dd901eed516b,0.11
0x8aac63512e52a8200cebda2e03b00f601d44fa58,0.11
0xe7b0a660e8712494144a79042e5d24bf7b80b0ea,0.11
0x5433e96cae8fb6a7cf49287ec6c003b4942e0971,0.11
0x84724bbc81aafcc454b0ba9e3b15d8b8839b4257,0.11
0x3e979ff85675c312f46b55774b2e699419f73519,0.11
0x74cbd1fbb9205b10151ea146a2d86b5855ff7eed,0.11
0x4d443d589691ff135c6cd4d6390a3be593bee93f,0.11
0xa8122074eb7bfe131da550ae19d5366865f64e52,0.11
0xe8d81a5cedde5e406a0790a11275202bc9804339,0.11
0x7d96637ba987d82161a5ac17125a02cea822df7c,0.11
0x70f544d7b33dc11c7dc4a058cd0661d93b10c3b2,0.11
0x730d37e2c2b11f45f1c84c9e829d957882644ff3,0.12
0xa6d1feda6fc70680816ef6a23faf5e454e2f9c09,0.12
0x79cb30bbfe89ccaaf334540a6be48fc0483fd944,0.12
0x00a2f81fb21250ca786f91e7ecb683301dd09d57,0.12
0x996500e28b16cb6ac5e354cadc0ff0a6a0016d48,0.12
0x434b37fafebde73dd8a099fc42d35314cbb3e07e,0.12
0x5dc097b0b03e4c9c32633c9091c7884a99e8a8ef,0.12
0x1665ed4fd653469d730252ce843e321ad1b8ed69,0.12
0x72a4f341e801bf263ec55bd508bd918d07285300,0.12
0xacf4130fe32f9a4a1c7918fb921a517a84a82d2d,0.12
0x325b1d63fee46413ff507037b138ace8ec189d52,0.12
0xc5c30e594d6c79fed019ba181b53d667bd535eb4,0.12
0xe43a304410bacb52f5cbad4ce8aeb57b2bf39c86,0.12
0x7856c5ce7bf44557d227300c178944ffbaad5678,0.12
0xb2347a8ffb31be9e4b7954e5984d4d62debaea9f,0.12
0xf31e31dea2fa8c645171b34f1555f5f65fe96a8f,0.12
0xa81867d06c529261aaa513f41c85a113cdca8605,0.12
0xb7c0f223047b3599b57ee85361a035d1e1dfab52,0.12
0x91af5d2dcfad2ef12a3d7cedd8e4b92cc8887339,0.12
0x641844175fc64875db2afed6f87ec66902c191ce,0.12
0x98259894f28ff2413fba1272dddc99743a767fbe,0.12
0x07a811cc2f74bbd5c47b7430948f5a5808128c37,0.12
0xaf9f35ab4786cf4f9e821d0018ea5e1f3e3fff89,0.12
0x5746f1e9911aef36ff0d7683c455486d9879a568,0.12
0xecdfebf6c00775a924512a5d536548d583c39ac4,0.12
0x60f2d3d55d2bce9d105a8af56ba37c01448bfc86,0.12
0x7c73941526747ca1cdb92c9028b9974d0f0d7804,0.12
0x86e86ab8bc0af62a17f8846b59e4056d1a979d04,0.12
0xc48df8c331152e1fefec245f2e8867d2b02224de,0.12
0x366d11505a1164c7edf3f3beec2332e6bf5800cb,0.12
0x5a43b8c2fa5154d5357db3f1b7fc87db7eeae78f,0.12
0x946e08192166504bfe5ac9b433697ddf0163bfdc,0.13
0x23a40bfff772eb20e7868646f0d7c4869acbd9ea,0.13
0x292c24a9a1c8bd36b6437c167fda31a2772467a8,0.13
0xb12c1bc046e260414f3d9ec3fbb10214b2be8179,0.13
0xed9490eb47478b11e0c6352446fa70542a093ef5,0.13
0x03b1c80bee0aec7199fb366ed92e1ed3219c36bb,0.13
0x96e42fad7db63f8a1a550fd52ce8b64578c32c0b,0.13
0x08897e36d256b4ad8ee360593b37a905383e119f,0.13
0x69b5c77f329d82a245ae029f1689c14fb089719a,0.13
0x110f75f18502cf232940498a92b2cee42f438b92,0.13
0xe8a675fc62d7abda6e308650afcbf38d7802956b,0.13
0xc8f66dcf9b358fa469bd45a708d0bb8f3e2f46fb,0.13
0x26eda88f435e668c47ed7fce13138b9236c8f191,0.13
0x94a758b05528e9968d286f8c8513fe232a0f96f2,0.13
0x0fc15b3b60fc55ad726abf575b8068ad0ddb9e65,0.13
0x059de77be3c653f9f61c3edcc690e741c9c8871e,0.13
0x5cbd4fd2293e1785fa8117b0249e4f11d949f9ba,0.13
0x92d3d9d48a12363bf758f570d7324c5ec133336c,0.13
0xcbd87bc165377007991c0d7d9906cfea6788781f,0.13
0xc7d21a4e630381e00ca42e04589243a0e0abb908,0.13
0x101807cc9eba18244898340f9c9ab1479d44620b,0.13
0x722323263aba352f21ab1b90428d782939b78700,0.13
0xda41643909ebd0df81ec6a87e2c9a8b1c7f6f373,0.13
0x686218c292b04f4d2f6e4737c9134d6f6d8fd687,0.14
0x4f4ca5439e5dad7d7b47d8150ab38d1f21571b8e,0.14
0xac7a53398b053e1fd40e0aeb09660ddbb573f207,0.14
0x8418a41ee35799553c4fa78a40935821bde1cc85,0.14
0x953f55eacd3f8c6c9cff2bd95ef57aa2bcb970ed,0.14
0xdcedad32383fc3ee07ee8f7657919ab8e23b3075,0.14
0x57f1aec0fa9d4ce28d226d350e941464a034af6d,0.14
0x15bef7bd3a15569b8b70b6b3d6aa30fc0a80317c,0.14
0x3aaf87f403b9a993e87098d73a62f55ab464f5d5,0.14
0xdb7cb55b592a63a83a68cd3dad669cbe6788e4a2,0.14
0xf4c073a51c33ea54b8e57a3e26a5cd1227ba352a,0.14
0x58ab0daffcc40e88fabea65d2609e14fec2674aa,0.14
0xf746c5be7ff26b85126befd39e867edf2833ea4a,0.14
0x292d5b663267c628ac55755aa663d884f96314cd,0.14
0x347266e97c057a0c9459efb61667e4eff08d95be,0.14
0x16b524dd92404013457ee89ae1f455f4f2d7fcc6,0.14
0x2cb9382764a275b2380d710f0b96774c30df189c,0.14
0x4d8f634f473a8bc25ac70f25efe0ed4d53792bd1,0.14
0x63cbcb45f8c2042d6662ee59f56f7991ea518e0e,0.14
0xa1152389b82104da564cf1093ff9c097581e7273,0.14
0x96bfb8ca8b9eef6ef5267341e40846cc478a168d,0.14
0xb5fe178ddb1c3f21fdc1d25ccd6329cc42de40d8,0.14
0xa499cc363ed625cd1909d21f6651ba7042d69e4c,0.14
0x007dfa409547fb6cac5ab12626d3a33d21cd351c,0.14
0x3d864eaef5a1b43acd09dd94fb574c38bf9b3954,0.14
0x6c6e19b07a4b98fa0606ec674c0d00d426baef69,0.15
0xbd9515b4ce9c34294c11fae3a9948396e7f1409b,0.15
0x695e3c6f2f268e53aaa667c2998ed0c4f32bfb48,0.15
0x86aa9ee8f23e312fa8c4fdeffab9ea4a00ba4520,0.15
0x6dbadd08d5556067ad4b02d5ef1c10222cd5d68b,0.15
0xbc4cf0a3a38328bf1c3b65befa8c5665d620a0f4,0.15
0x9c67170315ab62deca23e29a689888ebfa078485,0.15
0xe8df9d98639760288e93289c65429d7813c54ef4,0.15
0x1de4ccad813be835a5dba759a0789bd5cca84488,0.15
0xcaa2d352a4afd32ec09779439011c8bfc6da5d03,0.15
