recipient,amount
0xd84372781EB98443e4EE9014aE377FA6efa186cB,0.10
0x9eAbE012d6DF27B470eC7E2b72c05CFC019Dcc20,0.10
0x8Ec2F7cd03e21B62c2Ad98Cac9B4AdB0a44B966b,0.10
0x368942e02D5ED8c8Da9cA644ee70900893256B77,0.10
0x62440301842152aB442D02e36909337D1AA79F5F,0.10
0xf71bb8BA67EcDcFbe3b57Ece0AD4c5CB70F48c78,0.10
0x16Ef5b28CEf36A31336C2f473dA0767c4C96cc96,0.10
0xF982Dc958C04E548Cc9E5a4730aA94eA96aFb7D2,0.10
0x8A7FA260E4b825a5DfFccdeCE81C78eaD27D3643,0.10
0x6Bf1BA1e3868F42622cbC44bAB47426925545876,0.10
0x7DD48c506470A77C98Be6b1e2f2Baffb53309dFB,0.10
0xa8D5921984aD19d15cA0D240D66FF3A41b7Df049,0.10
0x948111536079Aa559164d1fe8383a50c7077bCEE,0.10
0xdFeCb5274da2da8b0ef5C812fED698D2dA476471,0.10
0x62DF3756de5206Ee3d6Eccca725Cc3b51850A4fc,0.10
0xf9135BAC6634583d75B16a0Fdfd60cfC710977B3,0.10
0x8739E06599876d76073bF19692adeC9Cfb335A32,0.10
0x1E9FC01E2752B1C5d0c457e7EEe398957DD1Dd55,0.10
0x272F1744ec0C020688D0368e4C324a53c65CC947,0.10
0x467067644D0FB9eBce7e973801F2220cA509b7Bc,0.10
0x3c85F8F8C34054DAeB63D84Bc5D59060223423b8,0.10
0xb6dD3d152f215013744B873291a712A177A16988,0.10
0x3c57D0Af357acc086b1c28C1F5966a2486C86D2E,0.10
0xF8D5DC2adfB3F5Bf4a2241F499C7726A17811370,0.10
0x184f6a1d683Aa943E254EFBc2f48C5376Ad58B6b,0.10
0x36359b44d7fC67caB4A2623C8bBd8A1E52DC4a6E,0.10
0x60817F07Aad1D50b0ff3661fa0CaecD4FC77fee4,0.11
0xd41016bE6f78384aaBc8B0478F7d8B6559c8e1D4,0.11
0xC401F927f22f039b8263c193C044CA46b803ca87,0.11
0xeB0e6eCD0E78B0a84eCD9663a041F453C454a99D,0.11
0x36a282b6c5421B1a62F27aa9386a1CE1F820345A,0.11
0x04B970b2539E98755438E6da19b204F102ddE11E,0.11
0x56D7BA3d583478703F36C918032B20fa3f9f8BAB,0.11
0x3C1B8FDc3Bf48FD34a3c46f8c4FA727388dFfC78,0.11
0x3cec64C550b3C4f4BD92ba7778124Cb02db8fB3F,0.11
0xcc070A70eB40C2a10e5AD51ACE525bAc5D415f56,0.11
0x01Ce46B099fDEccA8AfEce519D980A1548b24767,0.11
0x2237f601870B5DaFf77e109A8974e2B5D2cD5BB9,0.11
0x36D93bAC8ffcc3af98cCf3A5A1b2588df5508256,0.11
0x5fe90d0A71C29BFBF6389Fb132C93603309C661f,0.11
