recipient,amount
0xb8D37bE4F3c1f1fD74B2Ca4e42899502C8b1291c,0.10
0xbc10b1120c20b2c40439aAb07b623b9ea14401A5,0.10
0xe028547Cfe39C0F23a837a47B06A2C70126E3b14,0.10
0x8264C772927Ce782B656764f82922338B0790B54,0.10
0x6B979E8628cDD7576ffC00eF07592580Aa935AFF,0.10
0xb12B502492073edeb2adddDb1Eb8c67de54Ead46,0.10
0x0329aa929bFF1b94220aD989c4991Bf53B746B65,0.10
0x95C20b20027574331273893A4Be3E2dd59E005E1,0.10
0x664Cd25315e442236105a664E145F3dc27A56ce5,0.10
0x40665350bcF25f602aa21b6e98d590C9F6E5Fcf4,0.10
0xb7F38CfB0096Dd7054BEab96d8FB590CE1697fD3,0.10
0x9Cfbc1Ce27A84fec0Ba14Bd5f05f42B2745e14CD,0.10
0x447d29DFa40B8A1640f0dA1585589D8D7F407a4F,0.10
0xD8c537Fc501A7145b804027933bBDf6619E97033,0.10
0xEc688333867C14DFf136a6E0287594d5E0Eeb207,0.10
0x5ca0c5c0b77d7Ec89Ea11166E0B918b69ff5f0C0,0.10
0xBf6853a3b0016b121BEb7E6Dbe8Db728Fe79334f,0.10
0x3EDaD94B8354Bf6D2eebaC62c397246A6156f6B4,0.10
0x318D8AEd31B5E94dC6AeE3b5B53626ec5cAB4b7b,0.10
0x7B7005c3DA3174dD807987e6fCD6B1667E26Ac8f,0.11
0xADE5D3C1aE7D66Cf024AE3ba345963aE7186286C,0.11
0x2c08d97Ccd947D5c5bc72C72De1AEe058F18487f,0.11
0x5Df54fEC4e28fdF9dc7EAA86d51d4D9D64CfB8D4,0.11
0xbdA125cB95FBCC7B80f112c651f008040a2a7aE6,0.11
0xAb0d50070696e61a23b6E25cD5B47F334E8fee66,0.11
0x082F417019A9798890Ce395e1e12c05df071F1a6,0.11
0x3699fc128ec9A5eACC0D7cAE9523009dD1f7BBB7,0.11
0xfA994aE6D4137854104df34ad15d6871b595035e,0.11
0xcC0C6C55469AEaB0E4B264ed72668A45408E4f4e,0.11
0x375bF6aBC066b3F17DD1Ed9372894Aa6a03CE771,0.11
0xF5C63369eb1615160599E8C8f248903b6B766363,0.12
0x2974F55226EfDF2Cbb14Ae7ee77eAE948139CC2c,0.12
0x373925b5e3f33871835CC44CAa7d7e6a5E25Fa46,0.12
0x2d283553481bC3BEE710e7256abf32140C9CB4B1,0.12
0x764Efb58DbBE8F519b0E29f64EcDfdfF6b553aec,0.12
0x7aE4Bfb51d6da4F7c5e38bc001551490c66e5011,0.12
0x4913A1C400d261cb1F08071EeB602E08c0f6Ae22,0.12
0x7F156003859eaDF49d12C79E9d4C85b35F753157,0.12
0xad1B8793D9c80439bA6a9A5cdC7cf3C8B359eB5D,0.12
0x073bE88498d7e8277ad0F329b1Fa495eeDdA3628,0.12
0x9d7b2CF7daD4A5FA54E3d4CC3A623aC8e2d2d528,0.12
0x8544e3507F7EfE54A5958928A8296E19E9239156,0.12
0xD9f2B4d6Abb3479EDaD7bc9833965F20AEef10d3,0.12
0x3c61Ab868BB57B037d7BC98F6d3F47d5Ea06030E,0.12
0x9182c01E78AEd0cA6D300B313Cde19D266F97AD5,0.12
0x96055CE0DDa225c2C051eE74e1cBE3001D381D2F,0.12
0x1DF716B33E30DCC01bb92fE886E164240caEB867,0.12
0x7a1F36CD575FC2BbE5b3C87f943dE8A4BFC7e8D1,0.13
0xb322A6Af7e6968c4D2f623dBA07E5703D514D7f2,0.13
0xa9c2445400C10CC56a42a1acA8D5C6c6151bdc7C,0.13
0xE57D348F46a86e33f35f558B4a61a23543125a60,0.13
0x8C085e85caBF6700866DBa60B2E8bD5b57c55587,0.13
0xFA6Fb5e1da1F7158E4950F6475B1E88eA538A859,0.13
0x049B13e6da8A80905CE9FaC1dfADf61AA0248111,0.13
0xb7E4a6995064E952E249C0073CD58084E66B9a4c,0.13
0x3E3BBC522B0523EB3B47aE420e44452Cb2F20b80,0.13
0x690CB83D7429C61E8389876DBBD82fb7BD46F871,0.13
0xDE6A9fbfD752DbbA8d90E735D7960CEA4290afFB,0.13
0x8cbcB4Ae6DeDF5eB5F81F2334825F804dA5ae39A,0.13
0xB8e6F532f6FeE638d369228E87af10A79ecaaf63,0.13
0xcE96b55e21914421c64B244699C0dFe174801376,0.13
0x9E6e1f28A62AF7e4e00498491113Cc28DF4e07C4,0.13
0xE0C7B01799776728d1F960b65a67A6990d556F07,0.13
0xc222D35E6c7564B997947CDcfB6c94E6D1161722,0.14
0xc06DEBAd7aA1191959783CAAdB09889509f70134,0.14
0x71973DDa394adC3345184827df2DFaD5e16E8B0f,0.14
0xB03aE46b53bBEAE2204f6cd114387A44f100Fa2c,0.14
0xcCb81fFCD434c757d6f21519C6f5296A96d5b347,0.14
0xa46E40FC5fB553E859fE3c70AE8395664bA24c6E,0.14
0x432FCd67815D5cC72808A7815a02373FDEE7d740,0.14
0x1570F7661E9746de65E02D75985C37aad58881FD,0.14
0x060eb9Bf04D0c6b26D307E0794373988388366C6,0.14
0x632Fd6D5E53A8661e751a964c9d7c9aa63Ecaa5A,0.14
0x6CD53168cE62a9345A6a6bD56F964164b5BE13f4,0.14
0x9a3347C504Bd7EA52B84d13A3167569874F3Bb31,0.14
0x16aB7F2Ee8ADD7662787827A81EC658eF719C95B,0.14
0x3A484fc4E7873Bd79D0B9B05ED6067A549eC9f49,0.14
0xa0c3375F10C7b82E462d2Af8CC16aB01385C163F,0.14
0x196A492f60696930D6eE0551D3f4eD56b668Aa00,0.15
0xeC3b302d38D0446BBC039488cd4E206a2c0a2319,0.15
0xA8fB83748fE0D9cd093fAfc738627e7C07F83E46,0.15
0xA6E8456B2Ebae261019a077935359cCd9D6A0EF5,0.15
0xE6dA4a9ec4d69a902358B4c583961090e4C0828d,0.15
0xd7d2e9244d5fEB5fabad20bDb0d7b5da97891C18,0.16
0x1b8929A36DFcf2DAba830206EaD1b993c108F8b5,0.16
0x6E675aC7C1D9ab43662109c1DD67f7AF0E92b58D,0.16
0xA4bBC6215b52a9978F1f193C861eE389e9D0A1aE,0.16
0xB3290c332460e93b57b41EA72fDF9c6ef8979C33,0.16
0xe93eC6F690a46842D23989174A1A00Dc5FED5DD6,0.16
0x0e89dB6693E9A9cDE2AE8Bb451D77bd2859E5FDD,0.16
0x55B2498bd8D2C19683130fb927E2d7C40Fa0dEBC,0.16
0x34af913FA766aEBe29FF743bfc2e047D6113a123,0.17
0xD8eCc510DE7C19736A2fA02a83E339e710d76a62,0.17
0xefb984841907c8157163FB1800290BE42B976263,0.17
0xf38D980DcEe00Aa55B4034dC7473978c7453906A,0.17
0x7D78C5974724a088AA54bd7593774BB7feB4666d,0.17
0xB2043c543bb60Fb7AA7265CdcA359A35C4Bc09fa,0.17
0xf73Da202f727A41959f3f7B1fc83a91a271FCC3f,0.17
0xa2CfEF337B3458AC3A5bB60D814A55727BEC8A3E,0.18
0xA5fAF40e6d6b92BcbDE9783cdcAb689BCE3C5D59,0.18
0x97a4a6010c0a8287B887A0e8D838215B5488F383,0.18
0xA8811107685fb6A35161Be189776C9C4AC9D77BF,0.18
0x38E16B674478A5b9B2AEBb3BdF7325c050D79c7e,0.18
0x04314576237b5ac44eeda1f6C66B1d171782BDc2,0.18
0xBB0b220C5C13Eba546EDdfF871610C3d2ccA6deD,0.18
0x9b5e3c5f194f5BEe1A2a13cb18B13C621702a560,0.18
