recipient,amount
0xa829E05727e06d3127b90bfaF84b72C3Ae019Bf3,0.10
0x5619726145E35F85604A2c2089A196D0734238ac,0.10
0x2f56C49906e1C7dA869d2E572d24c30DA17517e9,0.10
0xeB80E3f4EDc739F8126D1c89304790807DaD183B,0.10
0x335E8f95aA777069Da7acC484DF803337203c077,0.10
0x7894085119f265443c99074819022740573da820,0.10
0x9f3CB1d13Ad41056cdBbA5C06F0Fe974B159C02A,0.10
0x595Bd2e3ba566fCEFBE207EC3bAFd62A528B4B00,0.10
0x62d76Bf057B4d5fe2509b6e95318057DBd6B4c27,0.10
0x8440A2e6E763Ee99B29DCf663A72896817d6A6fD,0.10
0xD53ffA52503dBd720A5D18d83D884c7Aa4759976,0.10
0x2Cc912a778224F95cDAa92B0e54f4d3EC5B464AA,0.10
0xf42702F0181def4F77142b1028b2c0C8B42FeDFc,0.10
0xC99B242b9F38cC0F59EebD29Ad2E352925Ddb0Ec,0.10
0xD32D2c1d75bE8e89a889dbDBB903b809242B535A,0.10
0x52Bd1Dc831672FF39301Ceb6873413184bb5ed40,0.10
0x0E2130d21F9f1B620207750a59d700F5087CE8ba,0.10
0xE8C49a1E83e1E51d29C127E7781b88028CCd408a,0.10
0xEa1ff3d4be1CDF0Bd92D8087Ff30C62C482Dd99B,0.10
0xf14a53a7928f732236De963Da513f13e723FeAC3,0.10
0xf1bCc821137EE2B28fe509e8A1180bA05C5cd0F3,0.10
0x8E29d271014Bdc53D2F6E033116Ec349F5a1B019,0.10
0x8cfEC2740f559A449ce4fA5c607E38b1DAA03AF9,0.10
0xcD4f09d3DD1b7350bFE1C4bdE727d3b52C057aC1,0.11
0xe57D0dD900C9013E5402012c424dD89D5772f317,0.11
0x4D4bb060e5416f37Bc3f28380E1371795965b508,0.11
0x13108aB5c6eB7efDcD7Ba6F8cc55d265eAE6176F,0.11
0x8d9a56Ba7bFE21DC091F900EB2125af3ba22Be3B,0.11
0xE06df8ad4C63cC27454af2CE3a722621f680Ce77,0.11
0x585Bf193dA48d1DEd774F0deE2e797647fdb3E32,0.11
0xF75cD3Afd55213aebdC50De32Cca25BF191Df49A,0.11
0xe87fa5aF548B1C221C48A18893Ce709E810e89FE,0.11
0xF7e8BD74A806adD8677A5860508861a18101c043,0.11
0xA72ea1De873a8b50c8D1a868fBCb30969B57109b,0.11
0xB1BD6Ba31c6f94ea2e547C8E345f9e75211b4D26,0.11
0xd2Be6586c9eD3B940396dB1893C6a0E0d52E1Bc3,0.11
0x2B83aC024B0a4Ba3f93776Cacb61D98310614aFE,0.11
0x1c207712859B8f29C3A2af72cd30fA600CA9bC9E,0.11
0x29F75Cf7DB0E8A711eE1345FC4606d376812B0B7,0.11
0xC9cfDA24eC9BFEffc4A907FEA0612ADA4ADe8101,0.11
0xf416784fF5659C964DB58013d0368184179477e0,0.11
0x6FF6dB677882D77037650622e510D15533846971,0.11
0x75A7101C7504e580d1800B8e27c08706dD660CBB,0.11
0x05188a06a8D36e32008BCb430bC8cA893625bD1B,0.11
0xfCbd205D5Edb1Cb22b77252265c0960632bbdDa8,0.11
0x1f66d0597398Df2B444664D3149E65941132a7bc,0.11
0x21976A320919196ED0D18dF686dCC949417a2152,0.12
0xfC38123aA960E1C5E69E199dDc66bcf3e2c93C44,0.12
0xc8bc06851735bAc1278CE5F382594019Ca48e72c,0.12
0x3DCC15f76Ab0b1Ba2d00a45ECE4DE8E5889BbB56,0.12
0x479B85a494313f9575f118AC352aEeeBb2ca8A31,0.12
0x8aC7AB41c62cE1375ef89C7BA9D0cc04F9C12500,0.12
0xc9a7bcbF4203572dE594178D6a6c401BE167b706,0.12
0x065963DF68Ab6f33aa9470f333B83661Aa060f20,0.12
0x91236ea7Daa4e0D570b69C08A4F4d44D303be0D2,0.12
0xF82EF19932F5297655EF69774dE2a2AbadefDe9d,0.12
0x9d6DfA973D4D6C52ab52Ec08C9CcC398E79aAD37,0.12
0x22334Bf7bFBc3CF0f0F4feDcD086ecfaDdcA4500,0.12
0x76453095Ab298978B4E88958E18D53385e2e3Dfd,0.12
0x1212a397FDe04aad7cC4C1E2102EeB2C898932b6,0.12
0x4E32ba7d7627d6fbAdE24a727Fc83c527cf7F3Dc,0.12
0xBba0A6b5305734550F85966A09573743385F74a1,0.12
0x8B4A25B437DA5f49adcC32c016C9368e5B7A3F46,0.12
0xf974984e37C99d49fabdCF6Fe493320545884cE4,0.12
0x063a468cC8DA8266CB625b8d109361E3Bef3ef91,0.12
0xE04126f0488ce79180F51120729b61fa85a9781E,0.12
0x89e2430079C95e13369C4bcEF8D81fF9C9D28b4b,0.12
0xD1c37B860157CBD072F8D486b3d365198c6EA3CA,0.12
0x2a44F436422EA42440A0140256AC733c9849DB74,0.12
0xf4408D2710c5277f9F0F2483F80b299B5A1087a7,0.12
0x9D7190aB79eB94F85C1f105277cE0FBAf2d9136C,0.12
0x98c1a3CcE237EC110A30d0a0eE666A98865F482D,0.12
0xeea8478DB74436835847ceD493FB36858886A28d,0.12
0xde4a66FF27FEf19cc72538cafB484c8748c72252,0.12
0x6fb737D1Ebb73cda6CFA36Fd16D9273065D1b084,0.12
0x257381A437266282006A2d234aEC3E0F8746650A,0.12
0xc4B278A3E85d04df16157DF09ABdf86cC2cBc6FB,0.12
0x519d70f1bc214e10a3FC502E9eE3A36D490a53f0,0.12
0x869a3AC5c33cc2BFEF2e80d88d01CEbC94eC884D,0.12
0x23Fc32698598980c628e8BC6a5DCCf79B2652d73,0.12
0x618a758D7579240672EAFa888964511fF965c3F4,0.13
0xFd8A3997588b70e15560DC2edE06b80a329682B9,0.13
0x26AbC9e54b5A0894b9e6d834d1f1A7e7768Ea00a,0.13
0x7e4D4689923d5470803b4f184E86d4e7B8fE9D78,0.13
0x958c90647B2e6d1Fcb714886435Ab84391Fcd15a,0.13
