recipient,amount
0x27d741A9fE58689382f8C8521d6C9b3FF2197652,0.10
0x91D32B9A6c322A807Db66D84B62C90B4Bd8096d8,0.10
0x0AD9497aDC746409691bBc20F42E895b976C7773,0.10
0xb64ef1865DD5B3CD7881B17e9Ba16b65a9140e2e,0.10
0x7d78EA3D3F8239A8b5bdB1301E7AeFc89EAEC3C7,0.10
0x31b537E2C2fBAAb1774a602A9b59dD98107C4b8d,0.10
0x263028d16D457cFF27431D3b4D4Fe0A0F6E2F239,0.10
0x5A08A90134e4A8631483f52E7eeD836e67491Bcf,0.10
0x264726056921757EEEC9Fe046FC7a7D6eF096fC6,0.10
0xC7fBeEA0102BdCe12d03723a2DD183Ad6656CA08,0.10
0xae40E3633BB61AA1D052517dAA3F692c7D03afEf,0.10
0xA314a59F9D00F481c033E0048aF077192b966C6F,0.10
0xEC0Da80935eE12Eca7312D4be5C4917503e84A2D,0.10
0xC52385f80C5F79dED56988eDa626D72aE4bD551B,0.10
0x56356E5E22C6849A26A450bF27dd590160721297,0.10
0x078B9061a809449c9FF87385C85c8C93e8aecfB2,0.11
0x204264A4090132621D2078Cf90a793B0d667028D,0.11
0xdd33f8d20f68cD7627a5691d6Ef391cbF7189d94,0.11
0x39c37Acda017FB188e085dAC8381f40E3B4C7E5F,0.11
0xfE8fd34A6a930939fCC9c57e7E4Bcbd2842cdc34,0.11
0x2073431ad4C24833a786eFC2Fbe5e58265e53332,0.11
0xF7C2210AC67727B8850d9851224F393b559c33E4,0.11
0xCB0A0A66333B67640DaA26CCF64441D601530aCB,0.11
0x0212Bc65d2f801a1956DB663C894556541CA8dd8,0.11
0xfc295aDE79C19DfE7a71dB132aECa6952828Fcb6,0.11
0xfa04c8eA43bAecdb8061f29B23800Fdfff876EA6,0.11
0xDCBfaE11A74c5EFFaF6a3dB6ECFeF164B0B16a18,0.11
0xd74F1B1d81BbabB9c0402853a2C24260fbaC1247,0.11
0x721FA41564b86F73B78fb6b0Cf9543c181F6C661,0.11
0x1ec52Db6A9C7B175507Ec3fAFb13b71cFC4e700f,0.11
0x12e2060A784DD22673A3e3c58adA7FbC48780407,0.12
0xe39D730150F4b48e52c9aba119D4ea34E67A3b26,0.12
0x5DbcF840B8a01EAce146B287ae6096277f3D0D3F,0.12
0x9ED343A2B6464EbA8734b347D0407a1AB6e8B4f9,0.12
0x9e07ecD4f5074a2EEAC9C42dF6508e3ec6373EF3,0.12
0x842b0A60428cCd2c09343ee01Cb2e9fc465aa14d,0.12
0xB74b8a0D872081f847e67652E803027BF282cA7b,0.12
0x92cD0C41Ac746cBBC2eF4EDD037B49e871FbE8eB,0.12
0xD5e6EaD34216F419eCeE76077781d31C71c1548a,0.12
0xC6d0e54A8d1DaF51cB0b48B49b94191A6AAf1795,0.12
0xd0026798Ac5184F9baB5F9387dfd2CCda7934D41,0.12
0xCE25d6d74b003D742714b12D04e844B47be56dba,0.12
0x96d79A77b491c876837ae4C9B3a52d0a7300EacA,0.12
0x00b20eEd81122763A393F11765D821eA0B8D4d5a,0.12
0x07D3B4DaA5599327f33Ce3e0A3d1F0ddba9C4F3c,0.12
0x669BA3803d6A7b09B04eD3A70CB71681534eDA4F,0.13
0x59146FAE92005A41d40B2aeB1CaeE6b127570DAe,0.13
0x2D52c519D06801f39E164285Dd60Ea1EDEE7e22F,0.13
0x01A1201B2D328aff0755f1C245CAc6FA9189188F,0.13
0x454fc6A01FF08B71b0052f55BB770500b97E10cF,0.13
0xaDdE398a5dCf39e202AC1d53953aF5861e5B4991,0.13
0x55C594C00e7B997A954216C34376Aa50Ef454EE6,0.13
0x53E5405fC9179CF4CC0A6EB758E043587C36c03E,0.13
0xdF08B9B2b4796a37abf9Ca7D7e1763EAEB12eD5E,0.13
0x1Ca940F5D383Da6717B3444d1f655C7C5300Ad82,0.13
0x7139fBC29De258410FffeF27D357ec8faA6e078C,0.13
0x11f318C64c553EDF78FDE0EF052BF4923c2Ab6c2,0.13
0x824489f369605e2E876CeB28AaF729D47c400BF5,0.13
0x90d4CF02E04b8491C07A7fF8126A413016AdE166,0.13
0x1f0D9EBBdc369B546ebAf53293007BefA769a36c,0.13
0x171a43404E06371d11Ee760A127614b5517adB91,0.13
0x619fFcC22084AF21E9911e4fe3A1B0B08F1ad2E9,0.13
0x515A7881d8CFF6ec5F0a72feB7c0551d0EE6f18b,0.13
0x67D12Aaa8BBb19182492e8bcf5668C2e8a9d2685,0.13
0x7B84BA8FB0b0EAA25400a5BF3173132389122366,0.13
0xfeb83C16361e6cFfd9FDB8C00F19084F84C7FB3A,0.13
0xe83F76bBBAF31b39E9909713AaD5f69C070314B1,0.13
0x54f4fb5f49a3E51AfB9487F0d64c66a0Ed110333,0.13
0xa862fa19B82bf7Cf717694c29A9824150eeEdA94,0.13
0x3b7908f75aE89f43793c2338389F2fd20080Eec6,0.13
0x0989785Cf7f68AF6114960b32F84A0c79fda1447,0.13
0x48fE9f6fA6652b0955d20e620c0cDe168653e466,0.13
0xEc765090EAb5C7eA71e3e2cb6Bc2F151650EB09e,0.13
0x862D7a947164cd8B958276ab404159A313a16652,0.13
0x3a6D3e3eCCdC7c3dfa76bb96C87890c1a7Ae2384,0.13
