recipient,amount
0x4aC157171c43Cf4091aB5Fc37a13655d54FA4a5F,0.15
0xBc95Fa93c577a6C9149a88D061Ac79284bF4E221,0.17
0x0CB4698575A1B3Fb1Ba7EC4a49dC5Bbb4122F320,0.18
0x12117Ee3E30e3D62A847734c9f4033ed1D1274E6,0.21
0x28655edB9Ee26AC115A12984B9Bdb5B4Bd69BB36,0.22
0x898e2592b0Ae429288ae3Ef33DF9df7E4f8A76D7,0.25
0x9c0070742B7d0edde7c0F883ac990900768B71fD,0.29
0xCd4c49cAc2cbb9B3cF55dE25F1eeCA187fDC271a,0.32
0x6eB3c732CA649E95974E83a27f328Dc1F227018e,0.33
0x3788ea10b06Bc0124653337875010E0a616a8595,0.41
0x97aA7CC7CAAf10d5afB1E11F6EC9Da6b3B4C6322,0.42
0x939250102261C6a11026174D8366aC79Db896292,0.45
0x6D3dF047dB3EdC81b42DCD24AF2679B1d932Ca14,0.46
0xdbe8e19850bd4e0cEE1308886dABa97b42bAd4B5,0.47
0x2A58F01b8B025AFdBAAAb76f9FEC57e73Fcd3abB,0.48
0x2F9855D4e73654cA7AFdcc4b93e6a4Ab0dc2B985,0.51
0xCe5F967FDCbaB1ff86B8A7B632Df33d6806C1A1b,0.54
0x5ca0c5c0b77d7Ec89Ea11166E0B918b69ff5f0C0,0.60
0xAA6Db4181A382bB4aA399dbBB405515AA2370cb1,0.61
0x9b30264b825c35DDba05b50dDf9cE4706776CB20,0.67
0x4A2f49Ae43c3219f2E1B754e3CaFBBCA7D87d1a4,0.71
0xB328EB9dbEE899aEee858E213Cb2aC8236B6f7e1,0.75
0xE26F4f4A2649DEbC8A01ECf34d5E57D7cf2f301B,0.76
0x592058d4E6EBbffB09D415bbed0c6114FA5a0200,0.81
0x0d2FC4959b5A60F4e79246640F37cE54b38103eD,0.82
0x3b9A37aD9a5D101037a8bef3048B5404Ffc0016b,0.89
0x99B5B97F8021adfde4dBd0683aDe62346f8DdE81,0.93
0x29E50F874Cb7A5cd5C432D10F0CD1e0b158E0b0d,0.93
0x4055de088Df51fe21576786de950b86CBbF6332a,0.94
0xE054730f5F91D4E7d1CB4187a751D6Ec416435B4,0.95
0x5989c869a42aDE9FBFEF331f2fF3Fce0D65Ec0d4,0.96
0x2Ae4e5AF458649519a944Efa55D52aF3b9220b63,1.00
0x377EBDcd084793cf8862B9919DCB3102114d6Ca0,1.01
0xc4bfda35a5057B6979Cc787425FC05b108ECd370,1.02
0x63f6Ebd3eFEa060D2AF1d2eAe6Abd4413624D32b,1.03
0x752E5fe4cA41AA32B82a0cB842e3deC13E23f709,1.08
0x3EDaD94B8354Bf6D2eebaC62c397246A6156f6B4,1.13
0xeE955eA62eb8671da51551E5e0f1775D7f3711F9,1.15
0xDAfcE2E0B4872d7B1a92d0786D5402d6B9FE4132,1.27
0x5fcDCd454eD7f91Dce67fF3f7a1560DBd7fD8E0f,1.41
0x6da168B10bC3632fd3D594795aD71A8c55E836bb,1.53
0x629dEd6b567458C6cEA8A835b18D69eAFC137F62,1.64
0x4BBf13A2673592e01f88E1A4C6208c3b157D0432,1.67
0x376a4e520FAf1398962F501022CA05d063f554C6,1.67
0x3b82eCAD48c3dBDb710422cfaF36eF295c5cF72f,1.81
0x284461Ae6eCFd54F38a100284F8B1a3671869Afd,1.82
0x0905114C3e6a7631CD44851970DB28DfC29C0119,1.94
0x5c8851168369Fe12bfDB98d42BE7C04B9069FC41,2.00
